Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","CAPC3225X270N",63.508093,-86.960256,-18.000000,bottom
"C2","10uF","CAP_CL10_SAM",62.028070,-89.694865,-18.000000,bottom
"C3","22uF","CAPC3225X270N",76.005257,-90.836435,-18.000000,bottom
"C4","10uF","CAP_CL10_SAM",74.547730,-93.540735,-18.000000,bottom
"J2","TC2030-IDC-NL","TAG_TC2030-IDC-NL",58.128755,-109.299770,-18.000000,bottom
"R1","500","RESC0603X26N",79.128534,-95.326806,-18.000000,bottom
"R2","1400","RESC1005X40N",79.345144,-93.160705,-18.000000,bottom
"R3","500","RESC0603X26N",66.682534,-91.516806,-18.000000,bottom
"R4","800","RESC1005X40N",68.501123,-88.580470,-18.000000,bottom
"R5","430","RES_ERJ-2GEJ431X",57.882259,-88.995783,-18.000000,bottom
"U1","~","SOT229P700X180-4N",62.781062,-96.818516,-18.000000,bottom
"U2","~","SOT229P700X180-4N",75.223619,-100.822435,-18.000000,bottom
"U3","SN74LV1T34DBVRG4","SOT95P280X145-5N",56.910390,-85.195680,-18.000000,bottom
"U4","ESP32-WROOM-32E","ESP32-WROOM-32D",44.756948,-97.769453,-18.000000,bottom
"U5","XT30UPB-M","XT30UPB-M",59.928559,-103.367458,162.000000,bottom
